symbol,organ_name,icb_name3,icb_name2,icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
TOS,Công ty Cổ phần Dịch vụ biển Tân Cảng,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Dầu khí,Thiết bị và Dịch vụ Dầu khí,CT,0001,0500,0570,0573
DTE,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
ILA,Công ty Cổ phần ILA,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
DPH,Công ty Cổ phần Dược phẩm Hải Phòng,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
DZM,Công ty Cổ phần Cơ điện Dzĩ An,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
CC1,Tổng Công ty Xây dựng số 1 - CTCP,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
PHN,Công ty Cổ phần Pin Hà Nội,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Hàng điện & điện tử,CT,2000,2700,2730,2733
CC4,Công ty Cổ phần Đầu tư và Xây dựng số 4,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
HKT,Công ty Cổ phần Đầu tư QP Xanh,Bia và đồ uống,Thực phẩm và đồ uống,Đồ uống & giải khát,CT,3000,3500,3530,3537
HSL,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
IME,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TNH,Công ty Cổ phần Tập đoàn Bệnh viện TNH,Thiết bị và Dịch vụ Y tế,Y tế,Chăm sóc y tế,CT,4000,4500,4530,4533
AVF,Công ty Cổ phần Việt An,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
TTS,Công ty Cổ phần Cán thép Thái Trung,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
IDJ,Công ty Cổ phần Đầu tư IDJ Việt Nam,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
HCB,Công ty Cổ phần Dệt may 29/3,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
AVC,Công ty Cổ phần Thủy điện A Vương,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
CDH,Công ty Cổ phần Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
SSH,Công ty Cổ phần Phát triển Sunshine Homes,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
BVS,Công ty Cổ phần Chứng khoán Bảo Việt,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
DPG,Công ty Cổ phần Tập đoàn Đạt Phương,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
SBG,Công ty Cổ Phần Tập Đoàn Cơ Khí Công Nghệ Cao Siba,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp phức hợp,CT,2000,2700,2720,2727
PHP,Công ty Cổ phần Cảng Hải Phòng,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
ING,Công ty Cổ phần Đầu Tư Và Phát Triển Xây Dựng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
CDG,Công ty Cổ phần Cầu Đuống,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
CDO,Công ty Cổ phần Tư vấn Thiết kế và Phát triển Đô thị,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
IBD,Công ty Cổ phần In Tổng hợp Bình Dương,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT,5000,5500,5550,5557
HTL,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô,CT,3000,3300,3350,3353
CDP,Công ty Cổ phần Dược phẩm Trung ương Codupha,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
KAC,Công ty Cổ phần Đầu tư Địa ốc Khang An,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
PAC,Công ty Cổ phần Pin Ắc quy Miền Nam,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Hàng điện & điện tử,CT,2000,2700,2730,2733
ICF,Công ty Cổ phần Đầu tư - Thương mại - Thuỷ sản,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
COM,Công ty Cổ phần Vật tư Xăng dầu,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,CT,5000,5300,5370,5379
IN4,Công ty Cổ phần In số 4,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT,5000,5500,5550,5557
AMC,Công ty Cổ phần Khoáng sản Á Châu,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
KCE,Công ty Cổ phần Bê tông Ly tâm Điện lực Khánh Hòa,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
TCK,Tổng Công ty Cơ khí Xây dựng - CTCP,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
E29,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
BAL,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
CEN,Công ty Cổ phần CENCON Việt Nam,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,CT,5000,5300,5370,5373
BKC,Công ty Cổ phần Khoáng sản Bắc Kạn,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
PCT,Công ty Cổ phần Vận tải Biển Global Pacific,Vận tải,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT,2000,2700,2770,2779
GPC,Công ty Cổ phần Tập đoàn Green+,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
HHG,Công ty Cổ phần Hoàng Hà,Du lịch & Giải trí,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT,5000,5700,5750,5759
BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,Hàng gia dụng,Hàng cá nhân & Gia dụng,Thiết bị gia dụng,CT,3000,3700,3720,3726
AME,Công ty cổ phần Alphanam E&C,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Thiết bị điện,CT,2000,2700,2730,2737
CMN,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
KDC,Công ty Cổ phần Tập đoàn KIDO,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
STK,Công ty Cổ phần Sợi Thế Kỷ,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
ICN,Công ty Cổ phần Đầu tư Xây dựng Dầu khí IDICO,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
BLI,Tổng Công ty Cổ phần Bảo hiểm Bảo Long,Bảo hiểm phi nhân thọ,Bảo hiểm,Bảo hiểm phi nhân thọ,BH,8000,8500,8530,8536
MH3,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
HPP,Công ty Cổ phần Sơn Hải Phòng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
GLT,Công ty Cổ phần Kỹ thuật điện Toàn Cầu,Hàng hóa giải trí,Hàng cá nhân & Gia dụng,Điện tử tiêu dùng,CT,3000,3700,3740,3743
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
AMP,Công ty Cổ phần Armephaco,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
HTM,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,CT,5000,5300,5370,5373
CEO,Công ty Cổ phần Tập đoàn C.E.O,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
DOC,Công ty Cổ phần Vật tư nông nghiệp Đồng Nai,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
DL1,Công ty Cổ phần Tập đoàn Alpha Seven,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
FRM,Công ty Cổ phần Lâm nghiệp Sài Gòn,Lâm nghiệp và Giấy,Tài nguyên Cơ bản,Lâm sản và Chế biến gỗ,CT,1000,1700,1730,1733
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
HHS,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô,CT,3000,3300,3350,3353
PNT,Công ty Cổ phần Kỹ thuật Xây dựng Phú Nhuận,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
KHG,Công ty Cổ phần Tập đoàn Khải Hoàn Land,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
GMX,Công ty Cổ phần Gạch ngói Gốm xây dựng Mỹ Xuân,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
ITD,Công ty Cổ phần Công nghệ Tiên Phong,Phần mềm & Dịch vụ Máy tính,Công nghệ Thông tin,Phần mềm,CT,9000,9500,9530,9537
INN,Công ty Cổ phần Bao bì và In Nông nghiệp,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
INC,Công ty Cổ phần Tư vấn Đầu tư IDICO,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
DDG,Công ty Cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
RYG,Công ty Cổ phần Sản xuất và Đầu tư Hoàng Gia,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
POV,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
DP1,Công ty Cổ phần Dược phẩm Trung ương CPC1,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
ACG,Công ty Cổ phần Gỗ An Cường,Lâm nghiệp và Giấy,Tài nguyên Cơ bản,Lâm sản và Chế biến gỗ,CT,1000,1700,1730,1733
HPH,Công ty Cổ phần Hóa Chất Hưng Phát Hà Bắc,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
DTP,Công ty Cổ phần Dược phẩm CPC1 Hà Nội,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
CTX,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
KHL,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Hưng Long,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
NCG,Công ty Cổ phần Tập đoàn Nova Consumer,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
TW3,Công ty Cổ phần Dược Trung Ương 3,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
KHP,Công ty Cổ phần Điện lực Khánh Hòa,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
BMC,Công ty Cổ phần Khoáng sản Bình Định,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
ILS,Công ty Cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
CFM,Công ty Cổ phần Đầu tư CFM,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Đào tạo & Việc làm,CT,2000,2700,2790,2793
CHC,Công ty Cổ phần Cẩm Hà,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
TDB,Công ty Cổ phần Thủy điện Định Bình,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
CLX,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
ACE,Công ty Cổ phần Bê tông ly tâm An Giang,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
CHP,Công ty Cổ phần Thủy điện Miền Trung,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
TSJ,Công ty Cổ phần Du lịch Dịch vụ Hà Nội,Du lịch & Giải trí,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT,5000,5700,5750,5759
HDC,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
HUT,Công ty Cổ phần Tasco,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô,CT,3000,3300,3350,3353
CI5,Công ty Cổ phần Đầu tư Xây dựng số 5,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
IST,Công ty Cổ phần ICD Tân Cảng Sóng Thần,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
HDG,Công ty Cổ phần Tập đoàn Hà Đô,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
CID,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
BSD,"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân",Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
PSN,Công ty Cổ phần Dịch vụ Kỹ thuật PTSC Thanh Hóa,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
ITQ,Công ty Cổ phần Tập đoàn Thiên Quang,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
HTI,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
BBC,Công ty Cổ phần Bibica,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
HDM,Công ty Cổ phần Dệt May Huế,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
VLB,Công ty Cổ phần Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
CPH,Công ty Cổ phần Phục vụ Mai táng Hải Phòng,Bán lẻ,Bán lẻ,Dịch vụ tiêu dùng chuyên ngành,CT,5000,5300,5370,5377
CPI,Công ty Cổ phần Đầu tư Cảng Cái Lân,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
EMG,Công ty Cổ phần Thiết bị Phụ tùng Cơ điện,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Thiết bị điện,CT,2000,2700,2730,2737
VDG,Công ty Cổ phần Vạn Đạt Group,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
C4G,Công ty Cổ phần Tập Đoàn Cienco4,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
DMN,Công ty Cổ phần Domenal,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
IVS,Công ty Cổ phần Chứng khoán Guotai Junan (Việt Nam),Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
DBM,Công ty Cổ phần Dược - Vật tư Y tế Đắk Lắk,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
HMG,Công ty Cổ phần Kim Khí Hà Nội - VNSTEEL,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
BBH,Công ty Cổ phần Bao bì Hoàng Thạch,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
KGM,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,CT,5000,5300,5370,5373
CVN,Công ty Cổ phần Vinam,Thiết bị và Dịch vụ Y tế,Y tế,Thiết bị y tế,CT,4000,4500,4530,4535
DVC,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
CT3,Công ty Cổ phần Đầu tư và Xây dựng công trình 3,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
HTV,Công ty Cổ phần Logistics Vicem,Vận tải,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT,2000,2700,2770,2773
KLB,Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
KLF,Công ty Cổ phần Đầu tư Thương mại và Xuất nhập khẩu CFS,Du lịch & Giải trí,Du lịch và Giải trí,Dịch vụ giải trí,CT,5000,5700,5750,5755
KMT,Công ty Cổ phần Kim khí Miền Trung,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
LMC,Công ty Cổ phần Long Beach LMC,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
JVC,Công ty Cổ phần Đầu tư và Phát triển Y tế Việt Nhật,Thiết bị và Dịch vụ Y tế,Y tế,Thiết bị y tế,CT,4000,4500,4530,4535
KSQ,Công ty Cổ phần CNC Capital Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
KST,Công ty Cổ phần KASATI,Thiết bị và Phần cứng,Công nghệ Thông tin,Thiết bị viễn thông,CT,9000,9500,9570,9578
BHC,Công ty Cổ phần Bê tông Biên Hòa,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
CNC,Công ty Cổ phần Công nghệ cao Traphaco,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
CRE,Công ty Cổ phần Bất động sản Thế Kỷ,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
BWS,Công ty Cổ phần Cấp Nước Bà Rịa - Vũng Tàu,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
IPA,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ KD,CT,2000,2700,2790,2791
CH5,Công ty Cổ phần Xây dựng số 5 Hà Nội,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
KTL,Công ty Cổ phần Kim khí Thăng Long,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
BLF,Công ty Cổ phần Thủy sản Bạc Liêu,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
HSA,Công ty Cổ phần HESTIA,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ KD,CT,2000,2700,2790,2791
KTS,Công ty Cổ phần Đường Kon Tum,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
GEG,Công ty Cổ phần Điện Gia Lai,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
GMD,Công ty Cổ phần Gemadept,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
HBH,Công ty Cổ phần HABECO - Hải Phòng,Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
IFS,Công ty Cổ phần Thực phẩm Quốc tế,Bia và đồ uống,Thực phẩm và đồ uống,Đồ uống & giải khát,CT,3000,3500,3530,3537
ICG,Công ty Cổ phần Xây dựng Sông Hồng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
HD8,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD8,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
HVH,Công ty Cổ phần Đầu tư và Công nghệ HVC,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
L18,Công ty Cổ phần Đầu tư và Xây dựng số 18,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
L35,Công ty Cổ phần Cơ khí Lắp máy Lilama,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
KDM,Công ty Cổ phần Tập đoàn GCL,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
HVT,Công ty Cổ phần Hóa chất Việt Trì,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
PGV,Tổng Công ty Phát điện 3 - Công ty Cổ phần,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
L43,Công ty Cổ phần Lilama 45.3,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
KSD,Công ty Cổ phần Đầu tư DNA,Hàng gia dụng,Hàng cá nhân & Gia dụng,Đồ gia dụng lâu bền,CT,3000,3700,3720,3722
L44,Công ty Cổ phần Lilama 45.4,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
HAP,Công ty Cổ phần Tập Đoàn Hapaco,Lâm nghiệp và Giấy,Tài nguyên Cơ bản,Sản xuất giấy,CT,1000,1700,1730,1737
L62,Công ty Cổ phần Lilama 69 - 2,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
BT6,Công ty Cổ phần BETON 6,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
HTT,Công ty Cổ phần Thương mại Hà Tây,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,CT,5000,5300,5370,5373
LAF,Công ty Cổ phần Chế biến Hàng Xuất khẩu Long An,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
CPC,Công ty Cổ phần Thuốc sát trùng Cần Thơ,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
DKC,Công ty Cổ phần Chợ Lạng Sơn,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,CT,5000,5300,5370,5373
LSG,Công ty Cổ phần Bất động sản Sài Gòn Vi na,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
