symbol,exchange,type,organ_short_name,organ_name
PXT,UPCOM,STOCK,Xây lắp Đường ống Dầu khí,Công ty Cổ phần Xây lắp Đường ống Bể chứa Dầu khí
PXS,UPCOM,STOCK,Lắp máy Dầu khí,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí
PXM,UPCOM,STOCK,Xây lắp Dầu khí Miền Trung,Công ty Cổ phần Xây lắp Dầu khí Miền Trung
PXL,UPCOM,STOCK,KCN Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu Công Nghiệp Dầu khí Long Sơn
PXI,UPCOM,STOCK,XL CN và dân dụng Dầu khí,Công ty Cổ phần Xây dựng Công nghiệp và Dân dụng Dầu khí
PXC,UPCOM,STOCK,Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí
PXA,UPCOM,STOCK,Đầu tư và Thương mại Dầu khí Nghệ An,Công ty Cổ phần Đầu tư và Thương mại Dầu khí Nghệ An
PX1,UPCOM,STOCK,Xi măng Sông Lam 2,Công ty Cổ phần Xi măng Sông Lam 2
PWS,UPCOM,STOCK,Cấp thoát nước Phú Yên,Công ty Cổ phần Cấp thoát nước Phú Yên
PWA,UPCOM,STOCK,Bất động sản dầu khí,Công ty Cổ phần Bất động sản dầu khí
PVY,UPCOM,STOCK,Chế tạo Giàn khoan Dầu khí,Công ty Cổ phần Chế tạo Giàn khoan Dầu khí
PVX,UPCOM,STOCK,Xây lắp Dầu khí Việt Nam,Tổng Công ty Cổ phần Xây lắp Dầu khí Việt Nam
PVV,UPCOM,STOCK,Vinaconex 39,Công ty Cổ phần Vinaconex 39
PVT,HSX,STOCK,Vận tải Dầu khí PVTrans,Tổng Công ty Cổ phần Vận tải Dầu khí
PVS,HNX,STOCK,DVKT Dầu khí PTSC,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam
PVR,UPCOM,STOCK,Đầu tư PVR Hà Nội,Công ty Cổ phần Đầu tư PVR Hà Nội
PVP,HSX,STOCK,Vận tải Dầu khí Thái Bình Dương,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương
PVO,UPCOM,STOCK,Dầu nhờn PV Oil,Công ty Cổ phần Dầu nhờn PV Oil
PVM,UPCOM,STOCK,Thiết bị dầu khí (PV MACHINO),Công ty Cổ phần Máy - Thiết bị Dầu khí
PVL,UPCOM,STOCK,Đầu tư Nhà Đất Việt,Công ty Cổ phần Đầu tư Nhà Đất Việt
PVI,HNX,STOCK,Bảo hiểm PVI,Công ty Cổ phần PVI
PVH,UPCOM,STOCK,Xây lắp Dầu khí Thanh Hóa,Công ty Cổ phần Xây lắp Dầu khí Thanh Hóa
PVG,HNX,STOCK,Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam
PVE,UPCOM,STOCK,Tư vấn Dầu khí,Tổng Công ty Tư vấn Thiết kế Dầu khí - Công ty Cổ phần
PVD,HSX,STOCK,Khoan Dầu khí PVDrilling,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí
PVC,HNX,STOCK,Hóa chất và Dịch vụ Dầu khí,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - Công ty Cổ phần
PVB,HNX,STOCK,Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam
PVA,UPCOM,STOCK,Xây dựng dầu khí Nghệ An,Công ty Cổ phần Tổng Công ty Xây lắp Dầu khí Nghệ An
PV2,HNX,STOCK,Đầu tư PV2,Công ty Cổ phần Đầu tư PV2
PTX,HNX,STOCK,VT Petrolimex Nghệ Tĩnh,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh
PTV,UPCOM,STOCK,Thương mại dầu khí,Công ty Cổ phần Thương mại Dầu khí
PTT,UPCOM,STOCK,Vận tải Dầu khí Đông Dương,Công ty Cổ phần Vận tải Dầu khí Đông Dương
PTS,HNX,STOCK,Vận tải Petrolimex HP,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng
PTP,UPCOM,STOCK,Viễn Thông và In Bưu điện,Công ty Cổ phần PTP
PTO,UPCOM,STOCK,Xây dựng Công trình Bưu điện,Công ty Cổ phần Dịch vụ - Xây dựng Công trình Bưu điện
PTN,DELISTED,STOCK,Phát triển Nhà Khánh Hòa,Công ty Cổ phần Phát triển Nhà Khánh Hòa
PTL,HSX,STOCK,Victory Group,Công ty Cổ phần Victory Group
PTI,HNX,STOCK,Bảo hiểm Bưu điện,Tổng Công ty Cổ phần Bảo hiểm Bưu điện
PTH,UPCOM,STOCK,Vận tải và DV Petrolimex Hà Tây,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hà Tây
PTG,UPCOM,STOCK,May Phan Thiết,Công ty Cổ phần May Xuất Khẩu Phan Thiết
PTE,UPCOM,STOCK,Xi măng Phú Thọ,Công ty Cổ phần Xi măng Phú Thọ
PTD,HNX,STOCK,Thiết kế-XD-TM Phúc Thịnh,Công ty Cổ phần Thiết kế - Xây dựng - Thương mại Phúc Thịnh
PTC,HSX,STOCK,Đầu tư ICAPITAL,Công ty Cổ phần Đầu tư ICAPITAL
PTB,HSX,STOCK,Công ty Cổ phần Phú Tài,Công ty Cổ phần Phú Tài
PSW,HNX,STOCK,Phân bón hóa chất dầu khí Tây Nam Bộ,Công ty Cổ phần Phân bón và hóa chất dầu khí Tây Nam Bộ
PSP,UPCOM,STOCK,DV Dầu Khí Đình Vũ,Công ty Cổ phần Cảng Dịch vụ Dầu khí Đình Vũ
PSN,UPCOM,STOCK,PTSC Thanh Hóa,Công ty Cổ phần Dịch vụ Kỹ thuật PTSC Thanh Hóa
PSL,UPCOM,STOCK,Chăn nuôi Phú Sơn,Công ty Cổ phần Chăn nuôi Phú Sơn
PSI,HNX,STOCK,Chứng khoán Dầu khí,Công ty Cổ phần Chứng khoán Dầu khí
PSH,HSX,STOCK,TMại ĐT Dầu khí Nam Sông Hậu,Công ty Cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu
PSG,UPCOM,STOCK,XL Dầu khí Sài Gòn,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn
PSE,HNX,STOCK,Phân bón và hóa chất dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và hóa chất dầu khí Đông Nam Bộ
PSD,HNX,STOCK,Phân phối Tổng hợp Dầu khí,Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí
PSC,HNX,STOCK,Vận tải Petrolimex SG,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn
PSB,UPCOM,STOCK,Sao Mai Bến Đình,Công ty Cổ phần Đầu tư Dầu khí Sao Mai Bến Đình
PRT,UPCOM,STOCK,Sản xuất - XNK Bình Dương,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - Công ty cổ phần
PRO,UPCOM,STOCK,Procimex Việt Nam,Công ty Cổ phần Procimex Việt Nam
PRE,HNX,STOCK,Tái bảo hiểm PVI,Tổng Công ty Cổ phần Tái bảo hiểm Hà Nội
PRC,HNX,STOCK,Vận tải Portserco,Công ty Cổ phần Logistics Portserco
PQN,UPCOM,STOCK,DV Dầu khí Quảng Ngãi PTSC,Công ty Cổ phần Dịch vụ Dầu khí Quảng Ngãi PTSC
PPY,HNX,STOCK,Xăng dầu dầu khí Phú Yên,Công ty Cổ phần Xăng dầu dầu khí Phú Yên
PPT,HNX,STOCK,Petro Times,Công ty cổ phần Petro Times
PPS,HNX,STOCK,DVKT Điện lực Dầu khí,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam
PPP,HNX,STOCK,PP.Pharco,Công ty Cổ phần Dược phẩm Phong Phú
PPI,UPCOM,STOCK,BĐS Thái Bình Dương,Công ty Cổ phần Đầu tư và Phát triển dự án hạ tầng Thái Bình Dương
PPH,UPCOM,STOCK,Phong Phú Corp.,Tổng Công ty Cổ phần Phong Phú
PPE,HNX,STOCK,PVPower Engineering,Công ty Cổ phần Tư vấn Đầu tư PP Enterprise
PPC,HSX,STOCK,Nhiệt điện Phả Lại,Công ty Cổ phần Nhiệt điện Phả Lại
POW,HSX,STOCK,Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
POV,UPCOM,STOCK,PV Oil Vũng Áng,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng
POT,HNX,STOCK,Thiết bị Bưu điện Postef,Công ty Cổ phần Thiết bị Bưu điện
POS,UPCOM,STOCK,Bảo dưỡng công trình DK biển,"Công ty Cổ phần Dịch vụ lắp đặt, vận hành và bảo dưỡng công trình dầu khí biển PTSC"
POM,UPCOM,STOCK,Thép Pomina,Công ty Cổ phần Thép Pomina
POB,UPCOM,STOCK,PVOIL Thái Bình,Công ty Cổ phần Xăng dầu Dầu khí Thái Bình
PNT,UPCOM,STOCK,Kỹ thuật XD Phú Nhuận,Công ty Cổ phần Kỹ thuật Xây dựng Phú Nhuận
PNP,UPCOM,STOCK,Tân Cảng - Phú Hữu,Công ty Cổ phần Tân Cảng – Phú Hữu
PNJ,HSX,STOCK,Vàng Phú Nhuận,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận
PNG,UPCOM,STOCK,Thương Mại Phú Nhuận,Công ty Cổ phần Thương Mại Phú Nhuận
PND,UPCOM,STOCK,Xăng dầu Dầu khí Nam Định,Công ty Cổ phần Xăng dầu Dầu khí Nam Định
PNC,HSX,STOCK,Văn hóa Phương Nam,Công ty Cổ phần Văn hóa Phương Nam
PMW,UPCOM,STOCK,Cấp Nước Phú Mỹ,Công ty Cổ phần Cấp Nước Phú Mỹ
PMT,UPCOM,STOCK,Telvina Việt Nam,Công ty Cổ phần Viễn thông Telvina Việt Nam
PMS,HNX,STOCK,Cơ khí xăng dầu,Công ty Cổ phần Cơ khí Xăng dầu
PMP,HNX,STOCK,Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ
PMJ,UPCOM,STOCK,Vật tư Bưu điện,Công ty Cổ phần Vật tư Bưu điện
PMG,HSX,STOCK,ĐT và SX Petro Miền Trung,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung
PMC,HNX,STOCK,Pharmedic,Công ty Cổ phần Dược phẩm Dược liệu Pharmedic
PMB,HNX,STOCK,Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc
PLX,HSX,STOCK,Petrolimex,Tập đoàn Xăng dầu Việt Nam
PLP,HSX,STOCK,SX và CN Nhựa Pha Lê,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê
PLO,UPCOM,STOCK,Kho vận Petec,Công ty Cổ phần Kho vận Petec
PLE,UPCOM,STOCK,Tư vấn Xây dựng Petrolimex,Công ty Cổ phần Tư vấn Xây dựng Petrolimex
PLC,HNX,STOCK,Hóa dầu Petrolimex,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần
PLA,UPCOM,STOCK,ĐT&DV Hạ tầng Xăng dầu (PLAND),Công ty Cổ phần Đầu tư và Dịch vụ hạ tầng Xăng dầu
PJT,HSX,STOCK,Vận tải thủy PETROLIMEX,Công ty Cổ phần Vận tải Xăng dầu đường thủy Petrolimex
PJS,UPCOM,STOCK,Cấp nước Phú Hòa Tân,Công ty Cổ phần Cấp nước Phú Hòa Tân
PJC,HNX,STOCK,TM và Vận tải Petrolimex HN,Công ty Cổ phần Thương mại và Vận tải Petrolimex Hà Nội
PIV,UPCOM,STOCK,PIV JSC,Công ty Cổ phần PIV
PIT,HSX,STOCK,XNK PETROLIMEX,Công ty Cổ phần Xuất nhập khẩu Petrolimex
PIS,UPCOM,STOCK,Pisico Bình Định,Tổng Công ty Pisico Bình Định - Công ty Cổ phần
PID,UPCOM,STOCK,Trang trí nội thất Dầu khí,Công ty Cổ phần Trang trí nội thất Dầu khí
PIC,HNX,STOCK,Đầu tư Điện lực 3,Công ty Cổ phần Đầu tư Điện lực 3
PIA,HNX,STOCK,Tin học Viễn thông Petrolimex,Công ty Cổ phần Tin học Viễn thông Petrolimex
PHS,UPCOM,STOCK,Chứng khoán Phú Hưng,Công ty Cổ phần Chứng khoán Phú Hưng
PHR,HSX,STOCK,Cao su Phước Hòa,Công ty Cổ phần Cao su Phước Hòa
PHP,UPCOM,STOCK,Cảng Hải Phòng,Công ty Cổ phần Cảng Hải Phòng
PHN,HNX,STOCK,Pin Hà Nội,Công ty Cổ phần Pin Hà Nội
PHH,UPCOM,STOCK,Hồng Hà Việt Nam,Công ty Cổ phần Hồng Hà Việt Nam
PHC,HSX,STOCK,Xây dựng Phục Hưng Holdings,Công ty Cổ phần Xây dựng Phục Hưng Holdings
PGV,HSX,STOCK,Tổng Công ty Phát điện 3,Tổng Công ty Phát điện 3 - Công ty Cổ phần
PGT,HNX,STOCK,PGT Holdings,Công ty Cổ phần PGT Holdings
PGS,HNX,STOCK,Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam
PGN,HNX,STOCK,Phụ Gia Nhựa,Công ty Cổ phần Phụ Gia Nhựa
PGI,HSX,STOCK,Bảo hiểm PJICO,Tổng Công ty Cổ phần Bảo hiểm Petrolimex
PGD,HSX,STOCK,PV GAS D,Công ty Cổ phần Phân phối khí thấp áp dầu khí Việt Nam
PGC,HSX,STOCK,Gas Petrolimex,Tổng Công ty Gas Petrolimex - Công ty Cổ phần
PGB,UPCOM,STOCK,PG Bank,Ngân hàng Thương mại Cổ phần Thịnh vượng và Phát triển
PFL,UPCOM,STOCK,Dầu khí Đông Đô,Công ty Cổ phần Dầu khí Đông Đô
PET,HSX,STOCK,Dịch vụ Tổng hợp Dầu khí,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí
PEQ,UPCOM,STOCK,Thiết bị xăng dầu Petrolimex,Công ty Cổ phần Thiết bị xăng dầu Petrolimex
PEN,HNX,STOCK,Xây lắp III Petrolimex,Công ty Cổ phần Xây lắp III Petrolimex
PEG,UPCOM,STOCK,TM Kỹ thuật và Đầu tư (PETEC),Tổng Công ty Thương mại Kỹ thuật và Đầu tư - Công ty Cổ phần
PEC,UPCOM,STOCK,Cơ khí Điện lực,Công ty Cổ phần Cơ khí Điện lực
PDV,UPCOM,STOCK,Vận tải Phương Đông Việt,Công ty Cổ phần Vận tải và Tiếp vận Phương Đông Việt
PDT,DELISTED,STOCK,,
PDR,HSX,STOCK,BĐS Phát Đạt,Công ty Cổ phần Phát triển Bất động sản Phát Đạt
PDN,HSX,STOCK,Cảng Đồng Nai,Công ty Cổ phần Cảng Đồng Nai
PDC,UPCOM,STOCK,Dầu khí Phương Đông,Công ty Cổ phần Du lịch Dầu khí Phương Đông
PDB,HNX,STOCK,DIN Capital,Công ty Cổ phần Tập đoàn Đầu tư DIN Capital
PCT,HNX,STOCK,Vận tải Biển Global Pacific,Công ty Cổ phần Vận tải Biển Global Pacific
PCN,DELISTED,STOCK,Dầu khí DMC-Miền Bắc,Công ty Cổ phần Hóa phẩm dầu khí DMC - Miền Bắc
PCM,UPCOM,STOCK,VLXD Bưu điện,Công ty Cổ phần Vật liệu Xây dựng Bưu điện
PCH,HNX,STOCK,Nhựa Picomat,Công ty Cổ phần Nhựa Picomat
PCG,HNX,STOCK,Đầu tư PT Gas Đô thị,Công ty Cổ phần Đầu tư Phát triển Gas Đô thị
PCF,UPCOM,STOCK,Cà phê PETEC,Công ty Cổ phần Cà phê PETEC
PCE,HNX,STOCK,Phân bón và Hóa chất DK Miền Trung,Công ty Cổ phần Phân bón và hóa chất dầu khí Miền Trung
PCC,UPCOM,STOCK,Xây lắp 1- Petrolimex,Công ty Cổ phần Tập đoàn Xây lắp 1 - Petrolimex
PC1,HSX,STOCK,Tập đoàn PC1,Công ty Cổ phần Tập đoàn PC1
PBT,UPCOM,STOCK,BSPPT,Công ty Cổ Phần Bao bì và Thương mại Dầu khí Bình Sơn
PBP,HNX,STOCK,Bao bì Dầu khí VN,Công ty Cổ phần Bao bì Dầu khí Việt Nam
PBC,UPCOM,STOCK,Dược Phẩm TW 1- Pharbaco,Công ty Cổ phần Dược Phẩm Trung ương 1 - Pharbaco
PAT,UPCOM,STOCK,Phốt pho Apatit Việt Nam,Công ty Cổ phần Phốt pho Apatit Việt Nam
PAS,UPCOM,STOCK,Quốc tế Phương Anh,Công ty Cổ phần Quốc tế Phương Anh
PAP,UPCOM,STOCK,Cảng Phước An,Công ty Cổ phần Dầu khí đầu tư khai thác Cảng Phước An
PAN,HSX,STOCK,Tập đoàn PAN,Công ty Cổ phần Tập đoàn PAN
PAI,UPCOM,STOCK,"CNTT, VT và Tự động hóa Dầu khí - PAIC","Công ty Cổ phần Công nghê thông tin, Viễn thông và Tự động hóa Dầu khí"
PAC,HSX,STOCK,Pin Ắc quy Miền Nam,Công ty Cổ phần Pin Ắc quy Miền Nam
ORS,HSX,STOCK,Chứng khoán Tiên Phong,Công ty Cổ phần Chứng khoán Tiên Phong
OPC,HSX,STOCK,Dược phẩm OPC,Công ty Cổ phần Dược Phẩm OPC
ONW,UPCOM,STOCK,Dịch vụ Một Thế giới,Công ty Cổ phần Dịch vụ Một Thế giới
ONE,HNX,STOCK,Truyền thông Số 1,Công ty Cổ phần Công nghệ ONE
OIL,UPCOM,STOCK,PV Oil,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần
OGC,HSX,STOCK,Tập đoàn Đại Dương,Công ty Cổ phần Tập đoàn Đại Dương
ODE,UPCOM,STOCK,Tập đoàn Truyền thông và Giải trí ODE,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE
OCH,HNX,STOCK,Khách sạn và Dịch vụ OCH,Công ty Cổ phần One Capital Hospitality
OCB,HSX,STOCK,Ngân hàng Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông
NXT,UPCOM,STOCK,SX và Cung ứng VLXD Kon Tum,Công ty Cổ phần Sản xuất và Cung ứng vật liệu xây dựng Kon Tum
NWT,UPCOM,STOCK,Vận tải Newway,Công ty Cổ phần Vận tải Newway
NVT,HSX,STOCK,Ninh Vân Bay,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay
NVP,UPCOM,STOCK,Nước sạch Vĩnh Phúc,Công ty Cổ phần Nước sạch Vĩnh Phúc
NVL122001,BOND,BOND,NVL122001 - Trái phiếu,NVL122001 - Trái phiếu
NVL,HSX,STOCK,Novaland,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va
NVB,HNX,STOCK,Ngân hàng Quốc Dân,Ngân hàng Thương mại Cổ phần Quốc Dân
NUE,UPCOM,STOCK,Môi trường Đô thị Nha Trang,Công ty Cổ phần Môi trường Đô thị Nha Trang
NTW,UPCOM,STOCK,Cấp nước Nhơn Trạch,Công ty Cổ phần Cấp nước Nhơn Trạch
NTT,UPCOM,STOCK,Dệt - May Nha Trang,Công ty Cổ phần Dệt - May Nha Trang
NTP,HNX,STOCK,Nhựa Tiền Phong,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong
NTL,HSX,STOCK,Đô thị Từ Liêm,Công ty Cổ phần Phát triển Đô thị Từ Liêm
NTH,HNX,STOCK,Thủy điện Nước Trong,Công ty Cổ phần Thủy điện Nước Trong
NTF,UPCOM,STOCK,Dược Nghệ An,Công ty Cổ phần Dược - Vật tư y tế Nghệ An
NTC,UPCOM,STOCK,KCN Nam Tân Uyên,Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên
NTB,UPCOM,STOCK,Công trình giao thông 584,Công ty Cổ phần Đầu tư Xây dựng và Khai thác Công trình giao thông 584
NT2,HSX,STOCK,Điện lực Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2
NST,HNX,STOCK,Thuốc lá Ngân Sơn,Công ty Cổ phần Ngân Sơn
NSS,UPCOM,STOCK,Nông súc sản Đồng Nai,Công ty Cổ phần Nông súc sản Đồng Nai
NSL,UPCOM,STOCK,Cấp nước Sơn La,Công ty Cổ phần Cấp nước Sơn La
NSH,HNX,STOCK,Nhôm Sông Hồng,Công ty Cổ phần Tập đoàn Nhôm Sông Hồng Shalumi
NSG,UPCOM,STOCK,Nhựa Sài Gòn,Công ty Cổ phần Nhựa Sài Gòn
NSC,HSX,STOCK,Tập đoàn Giống cây trồng Việt Nam,Công ty Cổ phần Tập đoàn Giống cây trồng Việt Nam
NS3,DELISTED,STOCK,Nước sạch số 3 Hà Nội,Công ty Cổ phần Sản xuất Kinh doanh Nước sạch số 3 Hà Nội
NS2,UPCOM,STOCK,Nước sạch số 2 Hà Nội,Công ty Cổ phần Nước sạch số 2 Hà Nội
NRC,HNX,STOCK,Tập đoàn Danh Khôi,Công ty Cổ phần Tập đoàn Danh Khôi
NQT,UPCOM,STOCK,Nước sạch Quảng Trị,Công ty Cổ phần Nước sạch Quảng Trị
NQN,UPCOM,STOCK,Nước sạch Quảng Ninh,Công ty Cổ phần Nước sạch Quảng Ninh
NQB,UPCOM,STOCK,Cấp nước Quảng Bình,Công ty Cổ phần Cấp nước Quảng Bình
NPM123024,BOND,BOND,NPM123024 - Trái phiếu,NPM123024 - Trái phiếu
NPM123023,BOND,BOND,NPM123023 - Trái phiếu,NPM123023 - Trái phiếu
NPM123022,BOND,BOND,NPM123022 - Trái phiếu,NPM123022 - Trái phiếu
NPM123021,BOND,BOND,NPM123021 - Trái phiếu,NPM123021 - Trái phiếu
NPM11911,DELISTED,BOND,NPM11911 - Trái phiếu,NPM11911 - Trái phiếu
NPM11907,DELISTED,BOND,NPM11907 - Trái phiếu,NPM11907 - Trái phiếu
NPM11805,DELISTED,BOND,NPM11805 - Trái phiếu,NPM11805 - Trái phiếu
NOS,UPCOM,STOCK,Vận tải Biển và Thương mại Phương Đông,Công ty Cổ phần Vận tải Biển và Thương mại Phương Đông
NO1,HSX,STOCK,Tâp đoàn 911,Công ty Cổ phần Tâp đoàn 911
NNT,UPCOM,STOCK,Cấp nước Ninh Thuận,Công ty Cổ phần Cấp nước Ninh Thuận
NNQ,DELISTED,STOCK,,
NNG,DELISTED,STOCK,CN - DV - TM Ngọc Nghĩa,Công ty Cổ phần Công nghiệp - Dịch vụ - Thương mại Ngọc Nghĩa
NNC,HSX,STOCK,Đá Núi Nhỏ,Công ty Cổ phần Đá Núi Nhỏ
NLS,UPCOM,STOCK,Cấp thoát nước Lạng Sơn,Công ty Cổ phần Cấp thoát nước Lạng Sơn
NLG,HSX,STOCK,BĐS Nam Long,Công ty Cổ phần Đầu tư Nam Long
NKG,HSX,STOCK,Thép Nam Kim,Công ty Cổ phần Thép Nam Kim
NJC,UPCOM,STOCK,May Nam Định,Công ty Cổ phần May Nam Định
NHV,UPCOM,STOCK,Đầu tư NHV,Công ty Cổ phần Sức khỏe Hồi sinh Việt Nam
NHT,HSX,STOCK,Sản xuất và Thương mại Nam Hoa,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa
NHP,UPCOM,STOCK,Sản xuất XNK NHP,Công ty Cổ phần Sản xuất Xuất nhập khẩu NHP
NHH,HSX,STOCK,Nhựa Hà Nội,Công ty Cổ phần Nhựa Hà Nội
NHC,HNX,STOCK,Gạch ngói Nhị Hiệp,Công ty Cổ phần Gạch ngói Nhị Hiệp
NHA,HSX,STOCK,PT Nhà và Đô thị Nam HN,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội
NGC,UPCOM,STOCK,Thủy sản Ngô Quyền,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Ngô Quyền
NFC,HNX,STOCK,Phân lân Ninh Bình,Công ty Cổ phần Phân lân Ninh Bình
NET,HNX,STOCK,Bột giặt Net,Công ty Cổ phần Bột giặt Net
NEM,UPCOM,STOCK,Thiết bị Điện Miền Bắc,Công ty Cổ phần Thiết bị Điện Miền Bắc
NED,UPCOM,STOCK,Phát triển Điện Tây Bắc,Công ty Cổ phần Đầu tư và Phát triển Điện Tây Bắc
NDX,HNX,STOCK,Phát triển Nhà Đà Nẵng,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng
NDW,UPCOM,STOCK,Cấp nước Nam Định,Công ty Cổ phần Cấp nước Nam Định
NDT,UPCOM,STOCK,Dệt may Nam Định,Tổng Công ty Cổ phần Dệt may Nam Định
NDP,UPCOM,STOCK,Dược phẩm 2/9,Công ty Cổ phần Dược phẩm 2/9
NDN,HNX,STOCK,PT Nhà Đà Nẵng,Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng
NDF,UPCOM,STOCK,Nông sản XK Nam Định,Công ty Cổ phần Chế biến thực phẩm nông sản xuất khẩu Nam Định
NDC,UPCOM,STOCK,Dược phẩm Nam Dược,Công ty Cổ phần Nam Dược
ND2,UPCOM,STOCK,Đầu tư và PT điện Miền Bắc 2,Công ty Cổ phần Đầu tư và Phát triển điện Miền Bắc 2
NCT,HSX,STOCK,DV Hàng hóa Nội Bài,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài
NCS,UPCOM,STOCK,Suất ăn Hàng không Nội Bài,Công ty Cổ phần Suất ăn Hàng không Nội Bài
NCG,UPCOM,STOCK,Nova Consumer,Công ty Cổ phần Tập đoàn Nova Consumer
NBW,HNX,STOCK,Cấp nước Nhà Bè,Công ty Cổ phần Cấp nước Nhà Bè
NBT,UPCOM,STOCK,Cấp thoát nước Bến Tre,Công ty Cổ phần Cấp thoát nước Bến Tre
NBP,HNX,STOCK,Nhiệt điện Ninh Bình,Công ty Cổ phần Nhiệt Điện Ninh Bình
NBE,UPCOM,STOCK,Sách và Thiết bị GD Miền Bắc,Công ty Cổ phần Sách và Thiết bị Giáo dục Miền Bắc
NBC,HNX,STOCK,Than Núi Béo,Công ty Cổ phần Than Núi Béo - Vinacomin
NBB,HSX,STOCK,577 CORP,Công ty Cổ phần Đầu tư Năm Bảy Bảy
NAW,UPCOM,STOCK,Cấp nước Nghệ An,Công ty Cổ phần Cấp nước Nghệ An
NAV,HSX,STOCK,Tấm lợp và gỗ Nam Việt,Công ty Cổ phần Nam Việt
NAU,UPCOM,STOCK,Công trình Đô thị Nghệ An,Công ty Cổ phần Môi trường và Công trình Đô thị Nghệ An
NAS,UPCOM,STOCK,DV Hàng không SB Nội Bài,Công ty Cổ phần Dịch vụ Hàng không Sân bay Nội Bài
NAP,HNX,STOCK,Cảng Nghệ Tĩnh,Công ty Cổ phần Cảng Nghệ Tĩnh
NAG,HNX,STOCK,Tập đoàn Nagakawa,Công ty Cổ phần Tập đoàn Nagakawa
NAF,HSX,STOCK,Nafoods Group,Công ty Cổ phần Nafoods Group
NAC,UPCOM,STOCK,Tư vấn xây dựng Tổng hợp,Công ty Cổ phần Tư vấn Xây dựng Tổng hợp
NAB,HSX,STOCK,Ngân hàng Nam Á,Ngân hàng Thương mại Cổ phần Nam Á
MZG,UPCOM,STOCK,Miza Corp,Công ty Cổ Phần Miza
MXC,DELISTED,STOCK,,
MWG,HSX,STOCK,Thế giới di động,Công ty Cổ phần Đầu tư Thế Giới Di Động
MVN,UPCOM,STOCK,TCT Hàng hải Việt Nam,Tổng Công ty Hàng hải Việt Nam - CTCP
MVC,UPCOM,STOCK,VL và XD Bình Dương,Công ty Cổ phần Vật liệu và Xây dựng Bình Dương
MVB,HNX,STOCK,Mỏ Việt Bắc - TKV,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - Công ty Cổ phần
MTX,UPCOM,STOCK,Công Trình Đô Thị Gò Công,Công ty Cổ phần Công trình Đô thị Gò Công
MTV,UPCOM,STOCK,Công trình đô thị Vũng Tàu,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu
MTS,UPCOM,STOCK,Vật tư - TKV,Công ty Cổ phần Vật tư - TKV
MTP,UPCOM,STOCK,Dược Medipharco,Công ty Cổ phần Dược Medipharco
