ticker,group_code,company_name,company_short_name
DTP,UpcomIndex,Công ty Cổ phần Dược phẩm CPC1 Hà Nội,Dược phẩm CPC1 Hà Nội
CPH,UpcomIndex,Công ty Cổ phần Phục vụ Mai táng Hải Phòng,PV mai táng Hải Phòng
CPI,UpcomIndex,Công ty Cổ phần Đầu tư Cảng Cái Lân,Đầu tư Cảng Cái Lân
CIA,HNXIndex,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,DV Sân Bay Cam Ranh
CRC,VNINDEX,Công ty Cổ phần Create Capital Việt Nam,Create Capital Việt Nam
CSC,HNXIndex,Công ty Cổ phần Tập đoàn COTANA,Tập đoàn COTANA
SGP,UpcomIndex,Công ty Cổ phần Cảng Sài Gòn,Cảng Sài Gòn
CSM,VNINDEX,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Cao su Miền Nam
CSV,VNINDEX,Công ty Cổ phần Hóa chất Cơ bản miền Nam,Hóa chất Cơ bản miền Nam
CT3,UpcomIndex,Công ty Cổ phần Đầu tư và Xây dựng công trình 3,Xây dựng công trình 3
CT6,UpcomIndex,Công ty Cổ phần Công trình 6,Công trình 6
CTA,UpcomIndex,Công ty Cổ phần Vinavico,Xây dựng Vinavico
CTB,HNXIndex,Công ty Cổ phần Chế tạo Bơm Hải Dương,Bơm Hải Dương
CTC,HNXIndex,Công ty Cổ phần Tập đoàn Hoàng Kim Tây Nguyên,Tập đoàn Hoàng Kim Tây Nguyên
CTD,VNINDEX,Công ty Cổ phần Xây dựng Coteccons,Xây dựng Coteccons
CTF,VNINDEX,Công ty Cổ phần City Auto,City Auto
CTG,VNINDEX,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,VietinBank
GTS,UpcomIndex,Công ty Cổ phần Công trình Giao thông Sài Gòn,Công trình Giao thông Sài Gòn
CTI,VNINDEX,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Cường Thuận IDICO
ICT,VNINDEX,Công ty Cổ phần Viễn thông - Tin học Bưu điện,Viễn thông - Tin học Bưu điện
CTN,UpcomIndex,Công ty Cổ phần Xây dựng Công trình ngầm,VINAVICO
CTP,HNXIndex,Công ty Cổ phần Minh Khang Capital Trading Public,Minh Khang Capital Trading Public
CTR,VNINDEX,Tổng Công ty Cổ phần Công trình Viettel,Công trình Viettel
CTS,VNINDEX,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Chứng khoán Vietinbank
CTT,HNXIndex,Công ty Cổ phần Chế tạo máy Vinacomin,Chế tạo máy Vinacomin
TTS,UpcomIndex,Công ty Cổ phần Cán thép Thái Trung,Cán thép Thái Trung
CTW,UpcomIndex,Công ty Cổ phần Cấp thoát nước Cần Thơ,Cấp thoát nước Cần Thơ
CTX,HNXIndex,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,CONSTREXIM
AUM,UpcomIndex,Công ty Cổ phần Vinacafe Sơn Thành,Vinacafe Sơn Thành
CVN,HNXIndex,Công ty Cổ phần Vinam,Vinam Group
CVT,VNINDEX,Công ty Cổ phần CMC,CMC JSC
CX8,HNXIndex,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Constrexim số 8
CYC,UpcomIndex,Công ty Cổ phần Gạch men Chang Yih,Gạch men Chang YIH
D11,HNXIndex,Công ty Cổ phần Địa ốc 11,Địa ốc 11
D2D,VNINDEX,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Phát triển Đô thị số 2
DAC,UpcomIndex,Công ty Cổ phần 382 Đông Anh,CTCP 382 Đông Anh
DCR,UpcomIndex,Công ty Cổ phần Gạch men COSEVCO,Gạch men COSEVCO
DAD,HNXIndex,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Phát triển GD Đà Nẵng
DAE,HNXIndex,Công ty Cổ phần Sách Giáo dục tại TP.Đà Nẵng,Sách Giáo dục Đà Nẵng
DAG,VNINDEX,Công ty Cổ phần Tập đoàn Nhựa Đông Á,TĐ Nhựa Đông Á
DCG,UpcomIndex,Công ty Cổ phần Tổng Công ty May Đáp Cầu,May Đáp Cầu
DAH,VNINDEX,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Tập đoàn Khách sạn Đông Á
DRG,UpcomIndex,Công ty Cổ phần Cao su Đắk Lắk,Cao su Đắk Lắk
DRI,UpcomIndex,Công ty Cổ phần Đầu tư Cao su Đắk Lắk,Đầu tư Cao su Đắk Lắk
UDL,UpcomIndex,Công ty Cổ phần Đô thị và Môi trường Đắk Lắk,Đô thị và Môi trường Đắk Lắk
DWC,UpcomIndex,Công ty Cổ phần Cấp nước Đắk Lắk,Cấp nước Đắk Lắk
DHB,UpcomIndex,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc,Đạm Hà Bắc
ADS,VNINDEX,Công ty Cổ phần DAMSAN,Dệt sợi DAMSAN
DAN,UpcomIndex,Công ty Cổ phần Dược Danapha,Dược Danapha
DNE,UpcomIndex,Công ty Cổ phần Môi trường Đô thị Đà Nẵng,Môi trường Đô thị Đà Nẵng
DAS,UpcomIndex,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,Thiết bị Dầu khí Đà Nẵng
DPG,VNINDEX,Công ty Cổ phần Tập đoàn Đạt Phương,Tập đoàn Đạt Phương
DBC,VNINDEX,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Tập đoàn DABACO
TDB,UpcomIndex,Công ty Cổ phần Thủy điện Định Bình,Thủy điện Định Bình
DBM,UpcomIndex,Công ty Cổ phần Dược - Vật tư Y tế Đắk Lắk,BAMEPHARM
DBT,VNINDEX,Công ty Cổ phần Dược phẩm Bến Tre,Dược phẩm Bến Tre
DC2,HNXIndex,Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2,DIC Số 2
DC4,VNINDEX,Công ty Cổ phần Xây dựng DIC Holdings,Xây dựng DIC Holdings
DCL,VNINDEX,Công ty Cổ phần Dược phẩm Cửu Long,Dược phẩm Cửu Long
DCM,VNINDEX,Công ty Cổ phần Phân bón Dầu Khí Cà Mau,Đạm Cà Mau
DCS,UpcomIndex,Công ty Cổ phần Tập đoàn Đại Châu,Đại Châu
DCT,UpcomIndex,Công ty Cổ phần Tấm lợp Vật liệu Xây dựng Đồng Nai,Tấm lợp VLXD Đồng Nai
VBG,UpcomIndex,Công ty Cổ phần Địa chất Việt Bắc - TKV,Địa chất Việt Bắc - TKV
DDM,UpcomIndex,Công ty Cổ phần Hàng hải Đông Đô,Hàng hải Đông Đô
DDN,UpcomIndex,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng,Dược - TB Y tế Đà Nẵng
DDV,UpcomIndex,Công ty Cổ phần DAP - Vinachem,DAP - Vinachem
DCF,UpcomIndex,Công ty Cổ phần Xây dựng và Thiết kế số 1,XD và Thiết kế số 1
DM7,UpcomIndex,Công ty Cổ phần Dệt may 7,Dệt may 7
DFF,UpcomIndex,Công ty Cổ phần Tập đoàn Đua Fat,Tập đoàn Đua Fat
DGC,VNINDEX,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất Đức Giang
DGT,UpcomIndex,Công ty Cổ phần Công trình Giao thông Đồng Nai,Công trình GT Đồng Nai
DGW,VNINDEX,Công ty Cổ phần Thế Giới Số,Thế Giới Số
DHA,VNINDEX,Công ty Cổ phần Hóa An,Hóa An
DHC,VNINDEX,Công ty Cổ phần Đông Hải Bến Tre,Đông Hải Bến Tre
DHG,VNINDEX,Công ty Cổ phần Dược Hậu Giang,Dược Hậu Giang
DHM,VNINDEX,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,Khoáng sản Dương Hiếu
DHP,HNXIndex,Công ty Cổ phần Điện cơ Hải Phòng,Điện cơ Hải Phòng
DHT,HNXIndex,Công ty Cổ phần Dược phẩm Hà Tây,Dược phẩm Hà Tây
DIC,UpcomIndex,Công ty Cổ phần Đầu tư và Thương mại DIC,ĐT và TM DIC
DC1,UpcomIndex,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Phát triển Xây dựng số 1 (DIC1)
DID,UpcomIndex,Công ty Cổ phần DIC - Đồng Tiến,DIC - Đồng Tiến
TTE,VNINDEX,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,ĐT Năng lượng Trường Thịnh
DIG,VNINDEX,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,DIC Corp
DIH,HNXIndex,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,PT Xây dựng Hội An
DL1,HNXIndex,Công ty Cổ phần Tập đoàn Alpha Seven,Tập đoàn Alpha 7
DLD,UpcomIndex,Công ty Cổ phần Du lịch Đắk Lắk,Du lịch Đắk Lắk
DLG,VNINDEX,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Đức Long Gia Lai
DLM,UpcomIndex,Công ty Cổ phần Chiếu sáng công cộng Đà Nẵng,Chiếu sáng công cộng Đà Nẵng
DLR,UpcomIndex,Công ty Cổ phần Địa ốc Đà Lạt,Địa ốc Đà Lạt
DUS,UpcomIndex,Công ty Cổ phần Dịch vụ Đô thị Đà Lạt,Dịch vụ Đô thị Đà Lạt
DMC,VNINDEX,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Dược phẩm DOMESCO
NSS,UpcomIndex,Công ty Cổ phần Nông súc sản Đồng Nai,Nông súc sản Đồng Nai
DNC,HNXIndex,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,Điện nước Hải Phòng
DNW,UpcomIndex,Công ty Cổ phần Cấp nước Đồng Nai,Cấp nước Đồng Nai
DNH,UpcomIndex,Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Thủy điện Đa Nhim-Hàm Thuận-Đa Mi
DNL,UpcomIndex,Công ty Cổ phần Logistics Cảng Đà Nẵng,Logistics Cảng Đà Nẵng
DNM,HNXIndex,Tổng Công ty Cổ phần Y tế Danameco,Y tế Danameco
DND,UpcomIndex,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,XD và Vật liệu Đồng Nai
DNN,UpcomIndex,Công ty Cổ phần Cấp nước Đà Nẵng,Cấp nước Đà Nẵng
DNP,HNXIndex,Công ty Cổ phần DNP Holding,Nhựa Đồng Nai
CDN,HNXIndex,Công ty Cổ phần Cảng Đà Nẵng,Cảng Đà Nẵng
DSC,UpcomIndex,Công ty Cổ phần Chứng khoán DSC,Chứng khoán DSC
DNT,UpcomIndex,Công ty Cổ phần Du lịch Đồng Nai,Du lịch Đồng Nai
DOC,UpcomIndex,Công ty Cổ phần Vật tư nông nghiệp Đồng Nai,Vật tư nông nghiệp Đồng Nai
MCD,UpcomIndex,Công ty Cổ phần Môi trường và Công trình Đô thị Đông Hà,Môi trường và Đô thị Đông Hà
BSD,UpcomIndex,"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân","Bia, rượu Sài Gòn - Đồng Xuân"
DMN,UpcomIndex,Công ty Cổ phần Domenal,Domenal
DOP,UpcomIndex,Công ty Cổ phần Vận tải Xăng dầu Đồng Tháp,Vận tải XD Đồng Tháp
CDR,UpcomIndex,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Xây dựng Cao su Đồng Nai
DWS,UpcomIndex,Công ty Cổ phần Cấp nước và Môi trường Đô thị Đồng Tháp,Cấp nước Đồng Tháp
DPC,HNXIndex,Công ty Cổ phần Nhựa Đà Nẵng,Nhựa Đà Nẵng
DPM,VNINDEX,Tổng Công ty Cổ phần Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Đạm Phú Mỹ
DPP,UpcomIndex,Công ty Cổ phần Dược Đồng Nai,Dược Đồng Nai
DPR,VNINDEX,Công ty Cổ phần Cao su Đồng Phú,Cao su Đồng Phú
DPS,UpcomIndex,Công ty Cổ phần Đầu tư Phát triển Sóc Sơn,Đầu tư Phát triển Sóc Sơn
DP2,UpcomIndex,Công ty Cổ phần Dược phẩm Trung ương 2,Dược phẩm TW 2
DQC,VNINDEX,Công ty Cổ phần Tập đoàn Điện Quang,Tập đoàn Điện Quang
DRC,VNINDEX,Công ty Cổ phần Cao su Đà Nẵng,Cao su Đà Nẵng
DRH,VNINDEX,Công ty Cổ phần DRH Holdings,DRH Holdings
DRL,VNINDEX,Công ty Cổ phần Thủy điện - Điện lực 3,Thủy điện - Điện lực 3
DSN,VNINDEX,Công ty Cổ phần Công viên nước Đầm Sen,Công viên nước Đầm Sen
DST,HNXIndex,Công ty Cổ phần Đầu tư Sao Thăng Long,Đầu tư Sao Thăng Long
DSV,UpcomIndex,Công ty Cổ phần Đường sắt Vĩnh Phú,Đường sắt Vĩnh Phú
DTA,VNINDEX,Công ty Cổ phần Đệ Tam,BĐS Đệ Tam
BDT,UpcomIndex,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,VLXD Đồng Tháp
DTC,HNXIndex,Công ty Cổ phần Viglacera Đông Triều,Viglacera Đông Triều
DTE,UpcomIndex,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,Đại Trường Thành Holdings
DTI,UpcomIndex,Công ty Cổ phần Đầu tư Đức Trung,Đầu tư Đức Trung
DTL,VNINDEX,Công ty Cổ phần Đại Thiên Lộc,Đại Thiên Lộc
DTN,UpcomIndex,Công ty Cổ phần Diêm Thống Nhất,Diêm Thống Nhất
DTT,VNINDEX,Công ty Cổ phần Kỹ nghệ Đô Thành,Kỹ nghệ Đô Thành
DTV,UpcomIndex,Công ty Cổ phần Phát triển điện Trà Vinh,PT điện Nông thôn Trà Vinh
MTV,UpcomIndex,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,Công trình đô thị Vũng Tàu
MGG,UpcomIndex,Tổng Công ty Đức Giang - Công ty Cổ phần,May Đức Giang
DVC,UpcomIndex,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,TM dịch vụ Cảng Hải Phòng
DVG,HNXIndex,Công ty Cổ phần Tập đoàn Sơn Đại Việt,Tập đoàn Sơn Đại Việt
DVP,VNINDEX,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,ĐT và PT Cảng Đình Vũ
DSG,UpcomIndex,Công ty Cổ phần Kính Đáp Cầu,Kính Đáp Cầu
DVW,UpcomIndex,Công ty Cổ phần Dịch vụ và Xây dựng cấp nước Đồng Nai,DV và XD cấp nước Đồng Nai
DXG,VNINDEX,Công ty Cổ phần Tập đoàn Đất Xanh,Địa ốc Đất Xanh
DXL,UpcomIndex,Công ty Cổ phần Du lịch và Xuất nhập khẩu Lạng Sơn,Du lịch và Xuất nhập khẩu Lạng Sơn
DXP,HNXIndex,Công ty Cổ phần Cảng Đoạn Xá,Cảng Đoạn Xá
DXS,VNINDEX,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Dịch vụ BĐS Đất Xanh
DXV,VNINDEX,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Vật liệu Xây dựng Đà Nẵng
DZM,HNXIndex,Công ty Cổ phần Cơ điện Dzĩ An,Cơ điện Dzĩ An
FUESSV50,VNINDEX,Quỹ ETF SSIAM VNX50,Quỹ ETF SSIAM VNX50
E1VFVN30,VNINDEX,Quỹ ETF DCVFMVN30,Quỹ ETF DCVFMVN30
EBS,HNXIndex,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Sách Giáo dục Hà Nội
E29,UpcomIndex,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29,Đầu tư XD và Kỹ thuật 29
ECI,HNXIndex,Công ty Cổ phần Tập đoàn ECI,Bản đồ và tranh ảnh GD
EFI,UpcomIndex,Công ty Cổ phần Đầu tư Tài chính Giáo dục,Tài chính giáo dục
EIB,VNINDEX,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Eximbank
EID,HNXIndex,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Phát triển GD Hà Nội
ELC,VNINDEX,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,ELCOM
EMC,VNINDEX,Công ty Cổ phần Cơ điện Thủ Đức,Cơ điện Thủ Đức
EME,UpcomIndex,Công ty Cổ phần Điện Cơ,Điện Cơ
EMG,UpcomIndex,Công ty Cổ phần Thiết bị Phụ tùng Cơ điện,Thiết bị phụ tùng cơ điện
EMS,UpcomIndex,Tổng Công ty Chuyển phát nhanh Bưu điện - Công ty Cổ phần,Chuyển phát nhanh Bưu điện
EPC,UpcomIndex,Công ty Cổ phần Cà Phê Ea Pốk,Cà Phê Ea Pốk
FUESSVFL,VNINDEX,Quỹ ETF SSIAM VNFIN LEAD,Quỹ ETF SSIAM VNFIN LEAD
EVE,VNINDEX,Công ty Cổ phần Everpia,Everpia
EVG,VNINDEX,Công ty Cổ phần Tập đoàn Everland,Tập đoàn Everland
EVF,VNINDEX,Công ty Tài chính Cổ phần Điện Lực,Tài chính Điện lực
EIC,UpcomIndex,Công ty Cổ phần EVN Quốc Tế,EVN Quốc Tế
LEC,VNINDEX,Công ty Cổ phần Bất động sản Điện lực Miền Trung,BĐS Điện lực Miền Trung
FHS,UpcomIndex,Công ty Cổ phần Phát hành sách Thành phố Hồ Chí Minh - FAHASA,Phát hành sách TP HCM - FAHASA
ROS,UpcomIndex,Công ty Cổ phần Xây dựng FLC FAROS,Xây dựng FLC FAROS
FBA,UpcomIndex,Công ty Cổ phần Tập đoàn Quốc tế FBA,Tập đoàn Quốc tế FBA
FCM,VNINDEX,Công ty Cổ phần Khoáng sản FECON,Khoáng sản FECON
FCN,VNINDEX,Công ty Cổ phần FECON,FECON CORP
FDC,VNINDEX,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,FIDECO
FIC,UpcomIndex,Tổng Công ty Vật liệu Xây dựng số 1 - Công ty Cổ phần,VLXD số 1
FID,HNXIndex,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,Đầu tư và PT doanh nghiệp VN
FIR,VNINDEX,Công ty Cổ phần Địa ốc First Real,Địa ốc First Real
FSO,UpcomIndex,Công ty Cổ phần Cơ khí đóng tàu thủy sản Việt Nam,Đóng tàu thủy sản VN
FIT,VNINDEX,Công ty Cổ phần Tập đoàn F.I.T,Tập đoàn F.I.T
FLC,UpcomIndex,Công ty Cổ phần Tập đoàn FLC,Tập đoàn FLC
ART,HNXIndex,Công ty Cổ phần Chứng khoán BOS,Chứng khoán BOS
FMC,VNINDEX,Công ty Cổ phần Thực phẩm Sao Ta,Thực phẩm Sao Ta
FOC,UpcomIndex,Công ty Cổ phần Dịch vụ Trực tuyến FPT,FPT Online
FBC,UpcomIndex,Công ty Cổ phần Cơ khí Phổ Yên,Cơ khí Phổ Yên
FCS,UpcomIndex,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Lương thực TP Hồ Chí Minh
FRM,UpcomIndex,Công ty Cổ phần Lâm nghiệp Sài Gòn,Lâm nghiệp Sài Gòn
DP3,HNXIndex,Công ty Cổ Phần Dược Phẩm Trung Ương 3,Dược Phẩm TW3
FTM,UpcomIndex,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,Phát triển Đức Quân
FPT,VNINDEX,Công ty Cổ phần FPT,FPT Corp
FRT,VNINDEX,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Bán lẻ FPT
FTS,VNINDEX,Công ty Cổ phần Chứng khoán FPT,Chứng khoán FPT
FRC,UpcomIndex,Công ty Cổ phần Lâm đặc sản xuất khẩu Quảng Nam,Lâm đặc sản xuất khẩu Quảng Nam
FT1,UpcomIndex,Công ty Cổ phần Phụ tùng máy số 1,Phụ tùng máy số 1
FOX,UpcomIndex,Công ty Cổ phần Viễn thông FPT,FPT Telecom
FTI,UpcomIndex,Công ty Cổ phần Công nghiệp - Thương mại Hữu Nghị,Công nghiệp - Thương mại Hữu Nghị
FUEMAV30,VNINDEX,Quỹ ETF MAFM VN30,Quỹ ETF MAFM VN30
FUESSV30,VNINDEX,Quỹ ETF SSIAM VN30,Quỹ ETF SSIAM VN30
FUEVFVND,VNINDEX,Quỹ ETF DCVFMVN DIAMOND,Quỹ ETF DCVFMVN DIAMOND
FUEVN100,VNINDEX,Quỹ ETF VINACAPITAL VN100,Quỹ ETF VINACAPITAL VN100
G20,UpcomIndex,Công ty Cổ phần Đầu tư Dệt may Vĩnh Phúc,Đầu tư Dệt may Vĩnh Phúc
GAB,VNINDEX,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,Đầu tư Khai khoáng và Quản lý Tài sản FLC
M10,UpcomIndex,Tổng công ty May 10 - Công ty Cổ phần,May10
GAS,VNINDEX,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,PV Gas
BVB,UpcomIndex,Ngân hàng Thương mại Cổ phần Bản Việt,Ngân hàng Bản Việt
GDT,VNINDEX,Công ty Cổ phần Chế biến Gỗ Đức Thành,Gỗ Đức Thành
GDW,HNXIndex,Công ty Cổ phần Cấp nước Gia Định,Cấp nước Gia Định
GEX,VNINDEX,Công ty Cổ phần Tập đoàn Gelex,Tập đoàn Gelex
GEE,UpcomIndex,Công ty Cổ phần Điện lực Gelex,Thiết bị điện GELEX
PGV,VNINDEX,Tổng Công ty Phát điện 3 - Công ty Cổ phần,Tổng Công ty Phát điện 3
GER,UpcomIndex,Công ty Cổ phần Thể thao Ngôi sao Geru,Thể thao Ngôi sao Geru
GGG,UpcomIndex,Công ty Cổ phần Ô tô Giải Phóng,Ôtô Giải Phóng
GHC,UpcomIndex,Công ty Cổ phần Thủy điện Gia Lai,Thủy điện Gia Lai
FGL,UpcomIndex,Công ty Cổ phần Cà phê Gia Lai,Cà Phê Gia Lai
GLW,UpcomIndex,Công ty Cổ phần Cấp thoát nước Gia Lai,Cấp thoát nước Gia Lai
GIL,VNINDEX,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,XNK Bình Thạnh
GLC,UpcomIndex,Công ty Cổ phần Vàng Lào Cai,Vàng Lào Cai
GEG,VNINDEX,Công ty Cổ phần Điện Gia Lai,Điện Gia Lai
GLT,HNXIndex,Công ty Cổ phần Kỹ thuật điện Toàn Cầu,KT Điện Toàn Cầu
GMA,HNXIndex,Công ty Cổ phần G-Automobile,Enteco Việt Nam
GMC,VNINDEX,Công ty Cổ phần Garmex Sài Gòn,Garmex Sài Gòn
GMD,VNINDEX,Công ty Cổ phần Gemadept,Gemadept
GMX,HNXIndex,Công ty Cổ phần Gạch ngói Gốm xây dựng Mỹ Xuân,Gạch ngói Mỹ Xuân
GIC,HNXIndex,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,ĐT Dịch vụ và PT Xanh
GSM,UpcomIndex,Công ty Cổ phần Thủy điện Hương Sơn,Thủy điện Hương Sơn
GSP,VNINDEX,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,Gas Shipping
GTA,VNINDEX,Công ty Cổ phần Chế biến Gỗ Thuận An,Gỗ Thuận An
DDH,UpcomIndex,Công ty Cổ phần Đảm bảo giao thông đường thủy Hải Phòng,Đảm bảo GTĐT Hải Phòng
GTT,UpcomIndex,Công ty Cổ phần Thuận Thảo,Thuận Thảo Group
H11,UpcomIndex,Công ty Cổ phần Xây dựng HUD101,Xây dựng HUD101
PHN,HNXIndex,Công ty Cổ phần Pin Hà Nội,Pin Hà Nội
HC1,UpcomIndex,Công ty Cổ phần Xây dựng số 1 Hà Nội,Xây dựng số 1 Hà Nội
HCB,UpcomIndex,Công ty Cổ phần Dệt may 29/3,Dệt may 29/3
HC3,UpcomIndex,Công ty Cổ phần Xây dựng số 3 Hải Phòng,Xây dựng số 3 Hải Phòng
HAD,HNXIndex,Công ty Cổ phần Bia Hà Nội - Hải Dương,Bia Hà Nội - Hải Dương
HDP,UpcomIndex,Công ty Cổ phần Dược Hà Tĩnh,Dược Hà Tĩnh
HAG,VNINDEX,Công ty Cổ phần Hoàng Anh Gia Lai,Hoàng Anh Gia Lai
HAH,VNINDEX,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Vận tải và Xếp dỡ Hải An
HAI,UpcomIndex,Công ty Cổ phần Nông dược HAI,Nông Dược HAI
HPX,VNINDEX,Công ty Cổ phần Đầu tư Hải Phát,Đầu tư Hải Phát
HID,VNINDEX,Công ty Cổ phần Halcom Vietnam,Halcom Vietnam
HNR,UpcomIndex,Công ty Cổ phần Rượu và Nước Giải Khát Hà Nội,Cồn Rượu và Nước Giải Khát Hà Nội
HLB,UpcomIndex,Công ty Cổ phần Bia và Nước giải khát Hạ Long,Bia và NGK Hạ Long
HLT,UpcomIndex,Công ty Cổ phần Dệt may Hoàng Thị Loan,Dệt may Hoàng Thị Loan
HAM,UpcomIndex,Công ty Cổ phần Vật tư Hậu Giang,Vật tư Hậu Giang
HHV,VNINDEX,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Đầu tư Hạ tầng Giao thông Đèo Cả
AAS,UpcomIndex,Công ty Cổ phần Chứng khoán SmartInvest,Chứng khoán SmartInvest
BBM,UpcomIndex,Công ty Cổ phần Bia Hà Nội - Nam Định,Bia Hà Nội - Nam Định
HAN,UpcomIndex,Tổng Công ty Xây dựng Hà Nội - CTCP,Xây dựng Hà Nội
HD6,UpcomIndex,Công ty Cổ phần Đầu tư và Phát triển nhà số 6 Hà Nội,Phát triển nhà số 6 Hà Nội
HNP,UpcomIndex,Công ty Cổ phần Hanel Xốp Nhựa,Hanel Xốp Nhựa
HSM,UpcomIndex,Tổng Công ty Cổ phần Dệt May Hà Nội,HANOSIMEX
HAP,VNINDEX,Công ty Cổ phần Tập Đoàn Hapaco,Tập đoàn Hapaco
HTM,UpcomIndex,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần,Thương mại Hà Nội - Hapro
HAR,VNINDEX,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,BĐS An Dương Thảo Điền
HAS,VNINDEX,Công ty Cổ phần Hacisco,Hacisco
HES,UpcomIndex,Công ty Cổ phần Dịch vụ Giải trí Hà Nội,Dịch vụ Giải trí Hà Nội
HAT,HNXIndex,Công ty Cổ phần Thương mại Bia Hà Nội,TM Bia Hà Nội
GH3,UpcomIndex,Công ty Cổ phần Công trình giao thông Hà Nội,Công trình giao thông Hà Nội
HAV,UpcomIndex,Công ty Cổ phần Rượu Hapro,Rượu Hapro
HGW,UpcomIndex,Công ty Cổ phần Cấp thoát nước - Công trình Đô thị Hậu Giang,Công trình đô thị Hậu Giang
HTW,UpcomIndex,Công ty Cổ phần Cấp nước Hà Tĩnh,Cấp nước Hà Tĩnh
HAX,VNINDEX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,Ô tô Hàng Xanh
HBC,VNINDEX,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Tập đoàn Xây dựng Hòa Bình
HBD,UpcomIndex,Công ty Cổ phần Bao bì PP Bình Dương,Bao bì PP Bình Dương
HBH,UpcomIndex,Công ty Cổ phần HABECO - Hải Phòng,HABECO Hải Phòng
HBS,HNXIndex,Công ty Cổ phần Chứng khoán Hòa Bình,Chứng khoán Hòa Bình
HCC,HNXIndex,Công ty Cổ phần Bê tông Hòa Cầm - Intimex,Bê tông Hòa Cầm
XDH,UpcomIndex,Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội,Đầu tư XD Dân dụng Hà Nội
HCD,VNINDEX,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,SX và Thương mại HCD
HCI,UpcomIndex,Công ty Cổ phần Đầu tư - Xây dựng Hà Nội,Đầu tư - XD Hà Nội
HCM,VNINDEX,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Chứng khoán HSC
